종목코드,종목명,시장구분,업종명,시가총액
115530,씨엔플러스,KOSDAQ,IT부품,34185389000
115570,스타플렉스,KOSDAQ,화학,34812454880
115610,이미지스,KOSDAQ,반도체,42842531420
115960,연우,KOSDAQ,화학,196880240000
117580,대성에너지,KOSPI,전기가스업,235950000000
117670,알파홀딩스,KOSDAQ,반도체,32475249135
117730,티로보틱스,KOSDAQ,기계·장비,276405910900
118000,더메디팜,KOSPI,유통업,55754278245
118990,모트렉스,KOSDAQ,운송장비·부품,504607300000
119500,포메탈,KOSDAQ,금속,47981289600
119610,인터로조,KOSDAQ,의료·정밀기기,459272610500
119650,KC코트렐,KOSPI,기계,103407482130
119830,아이텍,KOSDAQ,반도체,217558114550
119850,지엔씨에너지,KOSDAQ,일반전기전자,88824108600
119860,커넥트웨이브,KOSDAQ,인터넷,630152026840
120030,조선선재,KOSPI,기계,123878623500
120110,코오롱인더,KOSPI,화학,1227351458600
120115,코오롱인더우,KOSPI,화학,68504535000
120240,대정화금,KOSDAQ,화학,126047554230
121440,골프존뉴딘홀딩스,KOSDAQ,유통,221466349060
121600,나노신소재,KOSDAQ,화학,1566499285200
121800,비덴트,KOSDAQ,통신장비,193532554160
121850,코이즈,KOSDAQ,IT부품,84188981250
121890,에스디시스템,KOSDAQ,정보기기,9375042680
122310,제노레이,KOSDAQ,의료·정밀기기,108862753120
122350,삼기,KOSDAQ,운송장비·부품,120002409640
122450,KX,KOSDAQ,방송서비스,226226460360
122640,예스티,KOSDAQ,반도체,207596275000
122690,서진오토모티브,KOSDAQ,운송장비·부품,80377559720
122870,와이지엔터테인먼트,KOSDAQ,오락·문화,1721110215800
122900,아이마켓코리아,KOSPI,유통업,332616958000
122990,와이솔,KOSDAQ,반도체,205482799890
123010,아이윈플러스,KOSDAQ,반도체,76142584520
123040,엠에스오토텍,KOSDAQ,운송장비·부품,260186602200
123330,제닉,KOSDAQ,화학,32760000000
123410,코리아에프티,KOSDAQ,운송장비·부품,101341472960
123420,위메이드플레이,KOSDAQ,디지털컨텐츠,126053563580
123570,이엠넷,KOSDAQ,기타서비스,79636978850
123690,한국화장품,KOSPI,유통업,111029880000
123700,SJM,KOSPI,운수장비,91132604320
123750,알톤스포츠,KOSDAQ,운송장비·부품,55255197495
123840,한일진공,KOSDAQ,기계·장비,47186738270
123860,아나패스,KOSDAQ,반도체,251903589000
123890,한국자산신탁,KOSPI,기타금융,382471364920
124500,아이티센,KOSDAQ,컴퓨터서비스,83359959965
124560,태웅로직스,KOSDAQ,운송,168840886680
125210,아모그린텍,KOSDAQ,IT부품,266588126400
126340,비나텍,KOSDAQ,IT부품,370837068300
126560,현대퓨처넷,KOSPI,통신업,356506527075
